,StartDate,EndDate,Return,MaxDrawdown,BuyholdRet,BuyholdDrawdown,Deals,AvgTrade,ProfitDeals,MaxProfit,MaxLoss,ProfitFactor,SharpeRatio,Ticker
0,2009-12-31,2021-04-30,-0.9430210652722824,-0.9445224712093574,1.1265663622265212,-0.5019949331078922,2851,-0.0009339999579402207,0.45948789898281306,0.12414815634013225,-0.16539222574869267,0.8696628893717413,-4.2376613051316445,CSCO
1,2010-03-03,2021-04-30,-0.9715300244641184,-0.9760870384519024,4.354515982481041,-0.473987698616095,2792,-0.0011675066606096258,0.4387535816618911,0.1641981389642047,-0.25074981249999995,0.8481514023159037,-4.360120332256085,GMKN.ME
2,2009-12-31,2021-04-30,0.44220060877450573,-0.7271027596756185,3.213787929423093,-0.7940020609622569,2851,0.00028525739783485715,0.497720098211154,0.2506666216890672,-0.17613666569928876,1.0721764474335225,0.8510618040859329,UAL
3,2009-12-31,2021-04-30,-0.8442666054062622,-0.8990463101507343,2.3652581586524395,-0.3857327796014589,2851,-0.000599858537510004,0.4749210803226938,0.0643993279595849,-0.1451767657102047,0.9147195676386289,-3.1548552119518853,TROW
4,2009-12-31,2021-04-30,-0.8832232327799376,-0.9149476695748796,7.552219613716762,-0.40521436046350334,2851,-0.0006760383612067805,0.450368291827429,0.12120052031825307,-0.144992533745906,0.9901128046248947,-2.911122707767766,ISRG
5,2009-12-31,2021-04-30,-0.9843560871619076,-0.9860433192694845,6.060685712195156,-0.4613363342936262,2851,-0.0014221802879416504,0.3952998947737636,0.05694629864932984,-0.11117325377439742,0.895501062023266,-9.10095990695313,NVR
6,2015-07-01,2021-04-30,-0.3599492462505687,-0.4518935417377594,0.8664636417284481,-0.1990236051077524,1466,-0.0002907476123255592,0.4645293315143247,0.0400550214209052,-0.045541142542466204,0.970746201994528,-2.1358877429110463,CBOM.ME
7,2009-12-31,2021-04-30,-0.9420617788617858,-0.9518275417630416,0.04519204504924912,-0.8208061291054294,2851,-0.0009222773671042124,0.4672044896527534,0.13627427478581786,-0.1519182322947159,0.8591992232964744,-4.016343781951477,PRGO
8,2009-12-31,2021-04-30,-0.9178656502832448,-0.9755165883222929,0.3098822905310301,-0.8661267861935272,2851,-0.0007497726647862449,0.4654507190459488,0.17151058168839262,-0.18998201172391244,0.9541880878316097,-2.542200719154897,TPR
9,2009-12-31,2021-04-30,-0.8258935691057516,-0.9229063947166131,-0.6819047733229031,-0.9418904410732518,2851,-0.00046511198804856277,0.4714135391090845,0.1195486962304288,-0.3163162315143569,1.020199869734155,-1.4695093145136588,DVN
10,2009-12-31,2021-04-30,-0.938843536487049,-0.9450396176580386,1.6936916235554857,-0.41593665995782425,2851,-0.0009530453522099352,0.4173974044195019,0.055838717909338885,-0.1834974186005285,0.8248105072042909,-7.1084592112816924,DVY
11,2011-11-21,2021-04-30,-0.9139897180979972,-0.9213650952532444,0.7719491059158818,-0.5490625497064321,2364,-0.0009919271299133191,0.41116751269035534,0.17602631988287504,-0.13874985122919065,0.9181856953761824,-5.076610090501599,MTSS.ME
12,2009-12-31,2021-04-30,-0.6803938713913573,-0.807429636579893,3.880062347129864,-0.5359133431576983,2851,-0.0003262931527660176,0.45948789898281306,0.1397545079708477,-0.10241600208210146,1.0761554679973746,-1.4318080594158968,CE
13,2009-12-31,2021-04-30,-0.4467913718513276,-0.8595426542372371,-0.3953625448780842,-0.9251619096106125,2851,-2.2385445260656792e-05,0.4829884251139951,0.3347523318120193,-0.3842179886399305,1.0658262764749995,-0.06292236035262883,MRO
14,2009-12-31,2021-04-30,-0.5222656068593821,-0.8894098059770253,3.3286531116773173,-0.7843720140050351,2851,-0.0001530192040177182,0.47421957207997195,0.2119762864796412,-0.1963898335328976,1.0639589413828607,-0.5599865319576024,BA
15,2009-12-31,2021-04-30,-0.6055754830865794,-0.6758142936914027,4.092182140450343,-0.5414583494032639,2851,-0.00014316177026282075,0.4615924237109786,0.5409206559880394,-0.2276041155922709,1.1224505627495096,-0.3726545157026414,VRTX
16,2009-12-31,2021-04-30,-0.514571129007706,-0.7072518290502339,1.9336723156569802,-0.5364536294062013,2851,-0.00019139380953837092,0.46580147316730974,0.16703633688852726,-0.1615761658711899,1.076025517168687,-0.916856419613427,GILD
17,2009-12-31,2021-04-30,-0.9228664162240756,-0.9232230688343365,0.2222328777554412,-0.12181673885406152,2851,-0.0008962001347583005,0.30410382321992285,0.00989809897081224,-0.01474915795564694,0.7037543891458323,-23.332106276165522,TIP
18,2010-01-11,2021-04-30,-0.7178462993127739,-0.7176119767634752,2.2589994249568637,-0.497914777878512,2844,-0.0004412445599047942,0.22960618846694797,0.027552205211267583,-0.05706008996886856,1.3601338395073788,-8.847539664201898,SPFB.SBRF
19,2011-01-27,2021-04-30,-0.970177740691495,-0.9797219702723469,0.009842519832861552,-0.7876724585220882,2581,-0.0012875841543323067,0.4223169314219295,0.15587561333156438,-0.2374894971143369,0.8777769300449239,-5.540911810144532,NLSN
20,2014-06-04,2021-04-30,0.02526967958217741,-0.32639718636157966,3.2367521367521563,-0.4590802805923614,1733,6.845926757972471e-05,0.4864396999422966,0.09633370268781677,-0.10067628501118556,1.0782794217843712,0.2741902434525504,YNDX.ME
21,2009-12-31,2021-04-30,-0.8562596020367705,-0.8978059029743259,5.79001412534042,-0.35797738312040284,2851,-0.0006238979143333244,0.4426517011574886,0.12463164611484498,-0.24464209994679595,1.0028685403606286,-3.1927525446265212,EQIX
