,StartDate,EndDate,Return,MaxDrawdown,BuyholdRet,BuyholdDrawdown,Trades,AvgTrade,ProfitTrades,MaxProfit,MaxLoss,ProfitFactor,SharpeRatio,Ticker,Group
0,2010-03-03,2021-04-30,-0.7408446032387848,-1.7991140212274785,0.8645318690066767,-0.5954588444929313,2792,-0.0002653454882660404,0.46203438395415475,0.18249916262567195,-0.10086266812416173,1.0532593335460072,-1.1587654585894716,GAZP.ME,imoex
1,2011-11-21,2021-04-30,2.1747676542202043,-1.4933025440429337,3.8753825409860045,-0.647367303497118,2364,0.0009199524764044858,0.4885786802030457,1.6115937585838718,-0.13747369376716687,1.355229663739383,0.98218388064405,SBER.ME,imoex
2,2010-03-03,2021-04-30,0.001258100390781793,-2.271619209676754,1.7965314905126077,-0.5409635824727534,2792,4.506090224863156e-07,0.44197707736389685,0.18457387538940073,-0.1523974617014839,1.2627585529149177,0.0017653757334373582,LKOH.ME,imoex
3,2010-03-03,2021-04-30,-3.2596785964220745,-3.442536698052452,2.2316384270301985,-0.4842210942581511,2792,-0.0011675066606096256,0.4387535816618911,0.1641981389642047,-0.25074981249999995,0.8481514023159037,-4.360120332256085,GMKN.ME,imoex
4,2014-06-04,2021-04-30,0.11863991071566295,-0.3329558160696945,1.9008118054730256,-0.5467373344317685,1733,6.845926757972472e-05,0.4864396999422966,0.09633370268781678,-0.10067628501118556,1.078279421784371,0.2741902434525505,YNDX.ME,imoex
5,2011-11-21,2021-04-30,-2.531640125579724,-2.7099434121025774,1.673367193753543,-0.630009124484554,2364,-0.0010709137587054669,0.43189509306260576,0.11590453457446842,-0.19835013486986408,0.8809451947711646,-4.047768874537815,NVTK.ME,imoex
6,2010-03-03,2021-04-30,-1.3207047916102523,-1.6628346885804444,1.2639301702048407,-0.7191184567908221,2792,-0.00047303180215266916,0.4491404011461318,0.20959160506291616,-0.10078536800334352,1.0281039554549227,-2.4667208768758195,ROSN.ME,imoex
7,2013-06-20,2021-04-30,-0.24807786355018144,-1.107637572000244,2.36415550362991,-0.5861576304270602,1972,-0.00012580013364613663,0.4787018255578093,0.29549425751328895,-0.22383334263317367,1.0482422337301873,-0.340156295308616,POLY.ME,imoex
8,2019-10-29,2021-04-30,0.7820873200820188,-0.32889521381571596,1.4950261597622583,-0.6252879464868101,375,0.0020855661868853835,0.5653333333333334,0.18094765313201547,-0.10084607451011966,1.1216219301687531,2.144480378063403,TCSG.ME,imoex
9,2010-03-03,2021-04-30,-2.6786780320901884,-2.7768231170653768,2.9305179798325183,-1.2866195764795187,2792,-0.000959411902611099,0.43302292263610315,0.34800866836725786,-0.30069981589124817,0.9799237978628047,-2.7008933502669046,PLZL.ME,imoex
10,2010-03-03,2021-04-30,-8.68585336944476,-8.743602049006647,1.471352751516671,-1.4783821958118026,2792,-0.0031109790005174644,0.43445558739255014,0.1310056602256997,-0.25324230820457705,0.5573290683261501,-7.38365232041726,MGNT.ME,imoex
11,2011-11-21,2021-04-30,-1.8549746543315382,-2.314871884261018,1.8152787648424467,-0.6357456046215959,2364,-0.0007846762497172328,0.4289340101522843,0.1743510312557954,-0.10082390224779446,0.9993653629251434,-3.8659633910709617,TATN.ME,imoex
12,2010-03-03,2021-04-30,,-1.1358046728682787,1.5976824591991607,-1.1009387337007919,2793,-0.0005223184832329484,0.32116004296455425,0.18807381129857695,-0.19094278799081674,1.0114068617971306,-2.06154980210408,NLMK.ME,imoex
13,2010-03-03,2021-04-30,-1.9241724811548238,-2.338179056932204,2.199369249901247,-0.8199044487487314,2792,-0.0006891735247689197,0.45379656160458454,0.15807695771610603,-0.12829099195411844,0.9478268858000041,-3.2537581019232817,CHMF.ME,imoex
14,2010-03-03,2021-04-30,-2.007109653238454,-2.0820260277730607,0.7480704655700497,-0.6974262243525685,2792,-0.0007188788156298187,0.4262177650429799,0.07712514738919013,-0.14114468964878463,1.0251546946011525,-4.125978483713465,SNGS.ME,imoex
15,2011-11-21,2021-04-30,-2.344915735115087,-2.435730171717644,0.9452570853009488,-0.7244226965656155,2364,-0.0009919271299133193,0.41116751269035534,0.17602631988287504,-0.13874985122919065,0.9181856953761824,-5.0766100905016,MTSS.ME,imoex
16,2011-11-29,2021-04-30,-2.6970772956967686,-2.9512981736954322,1.5633532457613286,-0.8325592608158593,2358,-0.0011437986835015981,0.4410517387616624,0.13091955286803605,-0.23300530751784726,0.8569119071303715,-3.978319509754398,ALRS.ME,imoex
17,2010-03-03,2021-04-30,-2.007109653238454,-2.0820260277730607,0.7480704655700497,-0.6974262243525685,2792,-0.0007188788156298187,0.4262177650429799,0.07712514738919013,-0.14114468964878463,1.0251546946011525,-4.125978483713465,SNGS.ME,imoex
18,2018-02-12,2021-04-30,-0.20840862628656442,-0.663926357917243,0.2820280021572472,-0.46806556332596616,807,-0.00025825108585695715,0.4423791821561338,0.092941539485697,-0.0509497625,1.1325953766260413,-0.9356343342754645,FIVE.ME,imoex
19,2013-02-15,2021-04-30,-1.1828877468367833,-1.457133521248891,1.496508976160516,-0.4861868134587274,2057,-0.0005750548112964431,0.44530870199319394,0.1466491211776734,-0.10018580102483868,0.962392445567735,-3.1161597898459314,MOEX.ME,imoex
20,2011-11-21,2021-04-30,-0.07707107907949008,-0.8924664449915455,1.0212303016532378,-1.5239526560777819,2364,-3.2601979306044876e-05,0.4547377326565144,0.17775391667796123,-0.09348283847523464,1.185857320172665,-0.13245255981277823,IRAO.ME,imoex
